i,usgs_site_no,BI,w,mu,beta,RMSE,NSE,NNSE,PercentBias,Bias,\[Sigma]1I,\[Sigma]1F,,
1,2236350,0.128401,225.107,0.0113756,0.1,0.0688537,0.926639,0.931653,1.77208,0.00184681,0.0491971,0.0436338,,
2,2237734,0.119166,311.507,0.00612802,0.1,0.0854488,0.938871,0.942393,1.95942,0.002664,0.0729746,0.0578698,,
3,2236500,0.111717,285.639,0.00907265,0.1,0.0839674,0.90806,0.915801,5.32894,0.00603659,0.040275,0.0383655,,
4,2236605,0.528086,51.772,0.0105748,0.1,0.0949484,0.958315,0.959983,8.63682,0.0196496,0.251629,0.25,,
5,2236700,1.77596,47.7757,0.00449194,0.01,0.0782177,0.957932,0.95963,11.565,0.0225713,0.132906,0.122002,,Interesting Plot to Show
6,2240954,0.0800382,160.923,0.00814495,0.1,0.0478829,0.982472,0.982773,0.5444,0.00113603,0.0985651,0.0982526,,
7,2240902,0.204143,191.881,0.00720992,0.01,0.0281728,0.875586,0.889353,1.61038,0.0012319,0.0272752,0.0272908,,Interesting Plot to Show
8,2231342,0.22407012,70.26236807,0.042142871,0.5,0.260660871,0.941856858,0.982761,1.695509961,0.00820816,0.385644,0.375099,,
9,2231396,0.167501,47.5828,0.0231521,0.1,0.0721597,0.975787,0.976359,5.26076,0.0175523,0.481813,0.476869,,
10,2231454,0.14028,91.2254,0.00804512,0.1,0.0711227,0.931483,0.935876,0.410655,0.00121547,0.363054,0.348237,,
11,2231458,0.38741,35.3668,0.0237942,0.1,0.140745,0.938136,0.941741,12.5536,0.053235,0.659229,0.656589,,Interesting Plot to Show
12,2231600,0.133962,96.1952,0.00637786,0.1,0.0503096,0.991332,0.991407,12.0243,0.0273402,0.29995,0.294194,,
13,2232155,0.190175,28.9031,0.0754356,0.2,0.101167,0.990473,0.990563,8.60324,0.0467329,1.3271,1.29816,,
14,2232200,0.23628,29.133,0.0233425,0.2,0.0958339,0.990227,0.990321,9.00251,0.0440998,0.907971,0.885852,,
15,2232415,0.0520293,61.5227,0.00386074,0.1,0.138335,0.865389,0.881359,13.4543,0.0390032,1.06931,0.918891,,
16,2233001,0.406365,47.114,0.0393426,0.2,0.02778,0.995666,0.995684,4.59788,0.014314,0.292384,0.292026,,
17,2233200,0.437612,42.5705,0.00792864,0.2,0.063241,0.870473,0.885326,-5.46108,-0.0228219,0.639054,0.614308,,
18,2233460,0.771805,40.205,0.000451338,0.2,0.16949,0.934458,0.938489,-1.50121,-0.00625005,0.417265,0.416173,,
19,2233473,0.610534,26.7386,0.0145621,0.1,0.0833252,0.978588,0.979037,0.658923,0.00243058,0.421374,0.417338,,
20,2234308,0.283314,303.833,0.00692432,0.4,0.0547902,0.986447,0.986629,5.67624,0.0181144,0.214629,0.213934,,
21,2234324,0.293847,168.658,0.00344804,0.2,0.107738,0.962033,0.963421,3.36238,0.00857822,0.258163,0.258361,,
22,2234990,0.196673,107.574,0.00803586,0.2,0.0672759,0.986715,0.98689,6.84374,0.0184171,0.330091,0.327411,,
23,2234344,0.550042,115.031,0.0114806,0.5,0.0608181,0.989828,0.98993,7.69647,0.0291009,0.51804,0.513383,,
24,2234998,1.13378,45.8494,0.0117599,0.1,0.0665759,0.973757,0.974428,-2.41119,-0.00561065,0.18203,0.181275,,
25,2234400,0.302937,92.2891,0.00160143,0.3,0.400022,0.882322,0.894712,-3.28949,-0.0138582,0.708686,0.706463,,
26,2234635,3.99714,153.054,0.000980741,0.2,0.019468,0.94351,0.946531,2.4368,0.00258721,0.0359783,0.0336623,,
