i,usgs_site_no,BI,w,mu,beta,RMSE,NSE,NNSE,PercentBias,Bias,,
1,8031000,0.212487,77.7711,0.00237793,0.2,0.110561,0.983913,0.984167,8.86434,0.0417192,1.08215,1.07875
2,8029500,0.229068,45.5614,0.0451519,0.2,0.0930387,0.96274,0.964079,-1.34085,-0.00828492,1.4231,1.4132
3,8025500,0.317773,11.5352,0.364817,0.7,0.205049,0.987396,0.987553,14.694,0.151525,3.95735,3.91577
4,8041300,0.129074,84.2461,0.00614965,0.1,0.0556737,0.948865,0.951353,7.6059,0.0171525,0.228363,0.19322
5,8011000,0.242213,40.4458,0.00183971,0.4,0.148231,0.854195,0.872749,1.61829,0.0099988,1.79339,1.74996
6,8010000,0.206954,49.7724,0.00422338,0.6,0.181948,0.979125,0.979552,2.96616,0.0254632,2.13816,2.09916
7,7376000,0.208021,109.728,0.0028307,0.1,0.0846626,0.984138,0.984386,3.26029,0.0127709,0.692493,0.676629
8,7376500,0.182785,20.41,0.168028,0.4,0.081277,0.997162,0.99717,3.16692,0.0318828,3.57583,3.55325
9,7375960,0.209027,68.5871,0.00977978,0.1,0.0952803,0.970325,0.97118,3.69008,0.0171702,0.750855,0.721516
10,7375800,0.267989,30.9442,0.170737,0.1,0.110283,0.985604,0.985808,6.17104,0.0401923,1.57108,1.54246
11,7378000,0.12739,47.2811,0.0116316,0.1,0.0850409,0.982255,0.982564,9.01157,0.0427425,1.10687,1.09544
12,7377240,0.144178,16.8014,0.0176768,0.3,0.233862,0.858815,0.876282,-2.3663,-0.0203271,3.18834,2.96283
13,7377782,0.0717554,13.347,0.512931,0.5,0.101336,0.991584,0.991654,9.08336,0.0828056,5.26831,4.83936
14,7377500,0.282189,21.6185,0.175504,0.2,0.132768,0.987729,0.987878,10.202,0.0746396,2.30122,2.2648
15,7375000,0.620055,17.2211,0.45882,0.6,0.248624,0.971239,0.972043,18.7878,0.183097,3.99063,4.23211
16,8014800,0.237674,17.142,0.14884,0.3,0.100682,0.994828,0.994854,8.03827,0.0680415,2.60236,2.5701
17,2481000,0.230313,35.3256,0.0251644,0.3,0.076463,0.997257,0.997264,4.78436,0.0403459,2.17757,2.18059
18,2492343,0.228585,41.9207,0.0065518,0.2,0.10299,0.975886,0.976453,8.69076,0.054481,1.73358,1.66793
19,2492360,0.212141,31.6015,0.0426682,0.4,0.106648,0.990525,0.990614,7.08955,0.051228,1.92499,1.86854
20,7382000,0.328347,186.325,0.000337747,0.1,0.0521678,0.987051,0.987217,2.63781,0.00760145,0.319563,0.31648
21,7383500,0.308706,289.978,0.000896296,0.3,0.0754596,0.982305,0.982613,2.74679,0.0123312,0.382406,0.370929
22,7375280,0.382836,33.8718,0.0384864,0.1,0.101633,0.974917,0.975531,-1.00792,-0.00624967,1.26084,1.23814
23,2488700,1.12451,18.604,0.275519,0.5,0.158843,0.978931,0.979365,14.0915,0.102178,1.67573,1.67358
24,2487900,0.140052,51.0513,0.0100883,0.1,0.124294,0.94439,0.94732,-1.54001,-0.0100062,1.71482,1.56858
25,2485700,0.0790193,31.229,0.00992168,0.5,0.125122,0.975849,0.976419,-0.15801,-0.00129317,1.08612,1.08563
