,02236350_event_rainfall,02237734_event_rainfall,02236500_event_rainfall,02236605_event_rainfall,02236700_event_rainfall,02240954_event_rainfall,02240902_event_rainfall,02231342_event_rainfall,02231396_event_rainfall,02231454_event_rainfall,02231458_event_rainfall,02231600_event_rainfall,02232155_event_rainfall,02232200_event_rainfall,02232415_event_rainfall,02233001_event_rainfall,02233200_event_rainfall,02233460_event_rainfall,02233473_event_rainfall,02234308_event_rainfall,02234324_event_rainfall,02234990_event_rainfall,02234344_event_rainfall,02234998_event_rainfall,02234400_event_rainfall,02234635_event_rainfall,02234384_event_rainfall,02234365_event_rainfall,022349993_event_rainfall,02235000_event_rainfall,02233475_event_rainfall,02233484_event_rainfall,02233500_event_rainfall,02234180_event_rainfall,02235200_event_rainfall,02246000_event_rainfall,02244320_event_rainfall,02244333_event_rainfall,02245255_event_rainfall,02245260_event_rainfall,02245328_event_rainfall,02246150_event_rainfall,02244473_event_rainfall,02245050_event_rainfall,02245140_event_rainfall,02245500_event_rainfall,02246318_event_rainfall,02246300_event_rainfall,02246459_event_rainfall,02246828_event_rainfall,02246832_event_rainfall,02246515_event_rainfall,02246520_event_rainfall,02246359_event_rainfall,02231280_event_rainfall,02231268_event_rainfall
1980-01-04 00:00:00+00:00,,,,,,1.9942958,1.7816668,,,,,,,,,0.3099904,,,,,,,,,,,,,,,,,,,,,0.69640815,,1.2104,,,1.179325,1.3205868,1.5502677,1.3285826,,,0.99043906,,1.1010513,1.0965,,,,0.6975945,
1980-01-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14886734,,,,,,,,,,,,,,,,,,,
1980-01-11 00:00:00+00:00,,,,,,0.8714641,0.94263065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9748666,,,,1.7847935,1.3506464,1.5286143,,,,,,,,,,,
1980-01-12 00:00:00+00:00,,,,,,,,,,,,,,,,1.3480673,,,,,,,,,,,,,,,,,,,,,3.8862503,,,,,2.37065,,,,,,1.8773048,,2.1716154,2.1730835,,,,1.737554,
1980-01-13 00:00:00+00:00,,,,,,3.532824,3.2816994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7936332,,,,2.87662,2.9947727,2.8382835,,,,,,,,,,,
1980-01-14 00:00:00+00:00,,,,,,,,,,,,,,,,1.0481347,,,,,,,,,,,,,,,,,,,,,,,,,,1.306525,,,,,,1.2898291,,1.31,,,,,1.1771215,
1980-01-23 00:00:00+00:00,,,,,,1.5646801,1.4604052,,,,,,,,,1.9455866,,,,,,,,,,,,,,,,,,,,,0.78311735,,0.6372,,,0.997925,1.065405,1.1647255,0.93562204,,,1.3658171,,1.1523719,1.1405833,,,,1.7139595,
1980-01-26 00:00:00+00:00,,,,,,6.361776,6.6401925,,,,,,,,,2.0275962,,,,,,,,,,,,,,,,,,,,,4.7012854,,4.1106334,,,2.941975,4.5751405,4.9126635,4.273583,,,2.991049,,2.7216797,2.6061666,,,,2.6671486,
1980-01-31 00:00:00+00:00,,,,,,0.47502398,0.50048345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40242857,,0.7547334,,,0.579,0.7228843,0.6746212,0.7889291,,,0.5311707,,0.51212823,0.4955834,,,,0.53216213,
1980-02-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056925,,,,,,0.1697805,,0.0839359,0.081583336,,,,0.25672972,
1980-02-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0059024,,,,,,,1.6468242,
1980-02-10 00:00:00+00:00,,,,,,0.373752,0.3654114,,,,,,,,,0.4039423,,,,,,,,,,,,,,,,,,,,,0.28385714,,0.32596666,,,0.288975,0.34778512,0.369367,0.34347245,,,,,0.29388463,0.2725833,,,,,
1980-02-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069311224,,0.046333335,,,,0.052099176,0.03499327,0.041354332,,,,,,,,,,,
1980-02-14 00:00:00+00:00,,,,,,,,,,,,,,,,1.1731443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60641325,,,,,,,,,,,,,,,,,,,
1980-02-16 00:00:00+00:00,,,,,,1.350704,1.2302792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2268,,,0.6208,1.1163802,1.2082777,1.0959527,,,0.79749995,,0.5404487,0.50825006,,,,0.9995405,
1980-02-17 00:00:00+00:00,,,,,,,,,,,,,,,,1.1372404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6214592,,,,,,,,,,,,,,,,,,,
1980-02-19 00:00:00+00:00,,,,,,,,,,,,,,,,2.0494905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-24 00:00:00+00:00,,,,,,2.5647442,2.677967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6360613,,2.292667,,,3.210175,2.6592479,2.8921783,3.1308897,,,3.8985488,,3.3905385,3.3780835,,,,3.7716484,
1980-02-25 00:00:00+00:00,,,,,,,,,,,,,,,,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-01 00:00:00+00:00,,,,,,1.1318,0.9702943,,,,,,,,,1.6488558,,,,,,,,,,,,,,,,,,,,,1.5678877,,1.1700666,,,0.663925,1.2276281,1.0517054,1.0364803,,,0.64534146,,0.60603845,0.5993333,,,,0.7812568,
1980-03-09 00:00:00+00:00,,,,,,5.743816,6.109009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9318166,,6.192134,,,8.88105,5.0125127,6.4108114,6.5980315,,,10.039427,,8.885347,8.733,,,,8.689608,
1980-03-10 00:00:00+00:00,,,,,,,,,,,,,,,,0.7625962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-13 00:00:00+00:00,,,,,,1.0063279,0.9217928,,,,,,,,,0.38469234,,,,,,,,,,,,,,,,,,,,,0.5057245,,0.48900002,,,1.419325,0.58190906,0.76491416,0.60252756,,,1.3415122,,1.6206539,1.7025831,,,,1.572446,
1980-03-18 00:00:00+00:00,,,,,,1.2149919,1.2642821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995375,0.3346033,1.2812021,1.1426063,,,1.048756,,0.85988456,0.8159167,,,,1.0840676,
1980-03-21 00:00:00+00:00,,,,,,0.16428001,0.30567867,,,,,,,,,0.13325961,,,,,,,,,,,,,,,,,,,,,0.6875153,,0.86489993,,,0.52345,0.97042143,0.69733,0.863496,,,0.4259878,,0.42225638,0.41383332,,,,0.52064866,
1980-03-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84631634,,1.2302334,,,1.052425,1.0453637,0.7728518,1.0830078,,,0.74926835,,1.0500257,1.0958334,,,,0.79895943,
1980-03-28 00:00:00+00:00,,,,,,1.2506399,1.0881832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-29 00:00:00+00:00,,,,,,,,,,,,,,,,1.2014711,,,,,,,,,,,,,,,,,,,,,1.5521684,,2.1020668,,,3.6104748,2.4313636,2.6754866,2.5284252,,,4.0908656,,3.997769,4.0825834,,,,4.658365,
1980-03-30 00:00:00+00:00,,,,,,2.178936,2.1227176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-01 00:00:00+00:00,,,,,,,,,,,,,,,,2.9247499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-02 00:00:00+00:00,,,,,,6.5102882,6.2543244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7079077,,6.826866,,,4.3294997,7.4171653,6.694693,6.9763465,,,3.8792195,,3.8875382,3.0327504,,,,3.6056893,
1980-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76308334,,,,,
1980-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,2.5289328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-07 00:00:00+00:00,,,,,,0.138832,0.14744143,,,,,,,,,0.8317981,,,,,,,,,,,,,,,,,,,,,0.11551531,,,,,1.76345,0.09911571,0.1472458,0.113283455,,,1.2489024,,2.1512947,2.35525,,,,1.688946,
1980-04-09 00:00:00+00:00,,,,,,0.427312,0.46601206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17167346,,0.3342,,,1.03965,0.37149587,0.44260103,0.34744883,,,0.64565855,,1.106,1.1981667,,,,0.79691887,
1980-04-12 00:00:00+00:00,,,,,,,0.072921924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4505041,0.31466335,0.7159606,,,0.15642682,,0.106717944,,,,,0.25598648,
1980-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9967334,,,,,,,,,,,,,,,,,
1980-04-14 00:00:00+00:00,,,,,,2.0361679,1.7661383,,,,,,,,,1.0007693,,,,,,,,,,,,,,,,,,,,,0.99415815,,,,,1.797525,1.3890165,1.54584,1.5195905,,,1.8692805,,1.8127438,1.8183333,,,,2.0016081,
1980-04-19 00:00:00+00:00,,,,,,1.469408,1.7602913,,,,,,,,,0.82215387,,,,,,,,,,,,,,,,,,,,,0.24075,,0.62666667,,,0.846375,1.1844379,1.6188368,1.2807087,,,1.5425,,0.877282,0.77066666,,,,1.5577161,
