,08031000_event_rainfall,08029500_event_rainfall,08025500_event_rainfall,08041300_event_rainfall,08011000_event_rainfall,08010000_event_rainfall,07376000_event_rainfall,07376500_event_rainfall,07375960_event_rainfall,07375800_event_rainfall,07378000_event_rainfall,07377240_event_rainfall,07377782_event_rainfall,07377500_event_rainfall,07375000_event_rainfall,08014800_event_rainfall,02481000_event_rainfall,02492343_event_rainfall,02492360_event_rainfall,07382000_event_rainfall,07383500_event_rainfall,07375280_event_rainfall,02488700_event_rainfall,02487900_event_rainfall,02485700_event_rainfall
1980-01-03 00:00:00+00:00,,,,,,,,,,,,0.12122728,,,,,,,,,,,,,
1980-01-06 00:00:00+00:00,,,,,,,,,,,,0.10404545,,,,,,,,,,,,,
1980-01-08 00:00:00+00:00,,,,,,,,,,,,3.158398,,,,,,,,,,,,,
1980-01-10 00:00:00+00:00,,,,,,,,,,,,3.5008976,,,,,,,,,,,,,
1980-01-15 00:00:00+00:00,,,,,,,,,,,,4.378,,,,,,,,,,,,,
1980-01-21 00:00:00+00:00,,,,,,,,,,,,2.081841,,,,,,,,,,,,,
1980-01-25 00:00:00+00:00,,,,,,,,,,,,1.1518863,,,,,,,,,,,,,
1980-01-30 00:00:00+00:00,,,,,,,,,,,,0.37226135,,,,,,,,,,,,,
1980-02-08 00:00:00+00:00,,,,,,,,,,,,3.2313752,,,,,,,,,,,,,
1980-02-14 00:00:00+00:00,,,,,,,,,,,,0.6717841,,,,,,,,,,,,,
1980-02-16 00:00:00+00:00,,,,,,,,,,,,0.5401023,,,,,,,,,,,,,
1980-02-29 00:00:00+00:00,,,,,,,,,,,,5.9195004,,,,,,,,,,,,,
1980-03-04 00:00:00+00:00,,,,,,,,,,,,0.86487496,,,,,,,,,,,,,
1980-03-06 00:00:00+00:00,,,,,,,,,,,,1.2962046,,,,,,,,,,,,,
1980-03-16 00:00:00+00:00,,,,,,,,,,,,3.5174317,,,,,,,,,,,,,
1980-03-19 00:00:00+00:00,,,,,,,,,,,,0.91080683,,,,,,,,,,,,,
1980-03-23 00:00:00+00:00,,,,,,,,,,,,2.4136817,,,,,,,,,,,,,
1980-03-25 00:00:00+00:00,,,,,,,,,,,,1.8980453,,,,,,,,,,,,,
1980-04-01 00:00:00+00:00,,,,,,,,,,,,7.8616357,,,,,,,,,,,,,
1980-04-06 00:00:00+00:00,,,,,,,,,,,,3.6271362,,,,,,,,,,,,,
1980-04-11 00:00:00+00:00,,,,,,,,,,,,16.499897,,,,,,,,,,,,,
1980-04-17 00:00:00+00:00,,,,,,,,,,,,5.373807,,,,,,,,,,,,,
1980-04-30 00:00:00+00:00,,,,,,,,,,,,0.013863636,,,,,,,,,,,,,
1980-05-02 00:00:00+00:00,,,,,,,,,,,,0.12220456,,,,,,,,,,,,,
1980-05-08 00:00:00+00:00,,,,,,,,,,,,1.7164431,,,,,,,,,,,,,
1980-05-13 00:00:00+00:00,,,,,,,,,,,,0.06889773,,,,,,,,,,,,,
1980-05-15 00:00:00+00:00,,,,,,,,,,,,10.540602,,,,,,,,,,,,,
1980-05-18 00:00:00+00:00,,,,,,,,,,,,7.2249436,,,,,,,,,,,,,
1980-05-21 00:00:00+00:00,,,,,,,,,,,,0.5971591,,,,,,,,,,,,,
1980-06-18 00:00:00+00:00,,,,,,,,,,,,4.708238,,,,,,,,,,,,,
1980-06-20 00:00:00+00:00,,,,,,,,,,,,3.8678405,,,,,,,,,,,,,
1980-06-22 00:00:00+00:00,,,,,,,,,,,,2.9913864,,,,,,,,,,,,,
1980-07-07 00:00:00+00:00,,,,,,,,,,,,1.7863863,,,,,,,,,,,,,
1980-07-16 00:00:00+00:00,,,,,,,,,,,,1.3663864,,,,,,,,,,,,,
1980-07-18 00:00:00+00:00,,,,,,,,,,,,1.8306592,,,,,,,,,,,,,
1980-07-21 00:00:00+00:00,,,,,,,,,,,,5.7656474,,,,,,,,,,,,,
1980-07-25 00:00:00+00:00,,,,,,,,,,,,1.006716,,,,,,,,,,,,,
1980-07-27 00:00:00+00:00,,,,,,,,,,,,1.1545795,,,,,,,,,,,,,
1980-07-31 00:00:00+00:00,,,,,,,,,,,,1.9953864,,,,,,,,,,,,,
1980-08-03 00:00:00+00:00,,,,,,,,,,,,0.35886362,,,,,,,,,,,,,
1980-08-13 00:00:00+00:00,,,,,,,,,,,,1.8045795,,,,,,,,,,,,,
1980-08-17 00:00:00+00:00,,,,,,,,,,,,0.503091,,,,,,,,,,,,,
1980-08-26 00:00:00+00:00,,,,,,,,,,,,1.2689431,,,,,,,,,,,,,
1980-08-30 00:00:00+00:00,,,,,,,,,,,,1.1867273,,,,,,,,,,,,,
1980-09-04 00:00:00+00:00,,,,,,,,,,,,3.1876817,,,,,,,,,,,,,
1980-09-06 00:00:00+00:00,,,,,,,,,,,,1.9833071,,,,,,,,,,,,,
1980-09-14 00:00:00+00:00,,,,,,,,,,,,1.1449887,,,,,,,,,,,,,
1980-09-17 00:00:00+00:00,,,,,,,,,,,,0.4251818,,,,,,,,,,,,,
1980-09-23 00:00:00+00:00,,,,,,,,,,,,0.40227276,,,,,,,,,,,,,
1980-09-25 00:00:00+00:00,,,,,,,,,,,,0.94923866,,,,,,,,,,,,,
1980-09-29 00:00:00+00:00,,,,,,,,,,,,3.9376361,,,,,,,,,,,,,
1980-10-18 00:00:00+00:00,,,,,,,,,,,,8.239227,,,,,,,,,,,,,
1980-10-27 00:00:00+00:00,,,,,,,,,,,,2.6277728,,,,,,,,,,,,,
1980-11-13 00:00:00+00:00,,,,,,,,,,,,2.5129542,,,,,,,,,,,,,
1980-11-16 00:00:00+00:00,,,,,,,,,,,,1.1012615,,,,,,,,,,,,,
1980-11-22 00:00:00+00:00,,,,,,,,,,,,5.348341,,,,,,,,,,,,,
1980-11-25 00:00:00+00:00,,,,,,,,,,,,4.558204,,,,,,,,,,,,,
1980-12-09 00:00:00+00:00,,,,,,,,,,,,5.0008974,,,,,,,,,,,,,
1980-12-15 00:00:00+00:00,,,,,,,,,,,,0.13707955,,,,,,,,,,,,,
1980-12-23 00:00:00+00:00,,,,,,,,,,,,0.6996591,,,,,,,,,,,,,
1981-01-06 00:00:00+00:00,,,,,,,,,,,,1.504443,,,,,,,,,,,,,
1981-01-08 00:00:00+00:00,,,,,,,,,,,,0.17497727,,,,,,,,,,,,,
1981-01-19 00:00:00+00:00,,,,,,,,,,,,1.2869203,,,,,,,,,,,,,
1981-01-27 00:00:00+00:00,,,,,,,,,,,,0.018079545,,,,,,,,,,,,,
1981-01-31 00:00:00+00:00,,,,,,,,,,,,2.4441252,,,,,,,,,,,,,
1981-02-05 00:00:00+00:00,,,,,,,,,,,,6.0094204,,,,,,,,,,,,,
1981-02-07 00:00:00+00:00,,,,,,,,,,,,0.079772726,,,,,,,,,,,,,
1981-02-09 00:00:00+00:00,,,,,,,,,,,,4.0449653,,,,,,,,,,,,,
1981-02-14 00:00:00+00:00,,,,,,,,,,,,1.704875,,,,,,,,,,,,,
