usgs_site_no,huc8,DI_mean,<ET/R>,<Qb/Qf>,baseflow_sep,area(mi^2),years_data,Rec_a,Rec_b,Rec_r^2,Rec_event_avg_r^2,lambda_all,alpha_all,weight_1_all,alpha_1_all,alpha_2_all,alpha_me_all,rmse_all,<Q>(cm),percent_rows_dropped,sigmaQ^2(cm^2),<R>(cm),sigmaR^2(cm^2),<Q>(cm)_diff,BI,w,mu,Beta,RMSE,NSE,NNSE,PBIAS,Bias avg (cm),
2236350,3080102,1.424008738,0.920913537,0.663220263,Boughton,43,21,0.080609176,0.746046201,0.68148704,0.975518642,0.222251241,15.966135,0.954179493,16.53495461,0.448923209,15.7978845,3.755083475,0.042525351,0.008813161,0.022038017,1.609559,3.1483443,0.0020718,0.12847827,224.2720745,0.011435894,0.1,0.192001512,0.863013406,0.879517846,12.20529923,0.017959539,
2237734,3080102,1.312115228,0.902131694,0.620186075,Eckhardt,4.67,28,0.121073379,0.772566631,0.685332538,0.977666107,0.212246099,17.248959,0.99009892,17.24895859,0.210782886,17.08026224,4.685773508,0.064117389,0.012944984,0.040206973,1.7459294,3.70039,0.001848769,0.14928467,282.2716953,0.013277539,0.2,0.0334814,0.995873552,0.99589051,-11.64634609,-0.022752868,
2236500,3080102,1.381173738,0.922791905,0.639829842,EWMA,68,25,0.076202918,0.746862982,0.785359751,0.979970227,0.21952292,16.719965,0.952839471,17.57430495,0.317330328,16.76045689,3.080199646,0.046494965,0.01352028,0.01898344,1.6924808,3.3932092,0.009790038,0.095860981,154.1837391,0.009676385,0.01,0.183641705,0.818912809,0.846677543,13.1815039,0.014951267,
2236605,3080102,1.377029696,0.683217089,0.665704501,EWMA,14.8,16,0.126229581,0.701549684,0.702682859,0.982233392,0.202198935,17.6478,0.992861911,17.75152028,0.228773777,17.62644135,2.443493486,0.186888621,0.039932031,0.203930584,1.8096099,3.3625798,0.062879781,0.524736782,52.68052743,0.010082842,0.1,0.656548563,0.708840717,0.774497781,15.76354659,0.05122033,
2236700,3080102,1.646876677,0.477874926,0.831370945,Eckhardt,14.7,3,0.161365975,0.772318787,0.804642459,0.976016985,0.165587419,18.818169,0.94074802,19.92289901,1.619220389,18.8383698,2.374523327,0.165685427,0.027932961,0.122490565,1.9160528,3.1041481,0.01203613,3.046397183,50.36359378,0.015576272,0.4,0.0966246,0.941348744,0.944598133,-3.844013191,-0.00876173,
2240954,3080102,1.320227501,0.891311509,0.404962859,Chapman,41.2,22,0.327175147,0.979456358,0.789896925,0.979624413,0.187297634,19.794428,0.999,19.79541225,19.79442787,19.79541126,2.136211021,0.128017871,0.005984043,0.068456871,1.9910322,3.5335402,-0.002143262,0.080045351,160.879482,0.008151152,0.1,0.037962193,0.991790135,0.991856988,-1.465469468,-0.00319036,Good Plot to Show
2240902,3080102,1.341104503,0.870633895,0.795477686,Eckhardt,114,22,0.063376103,0.666759794,0.565184442,0.974346883,0.195392279,18.579884,0.997094097,18.57988358,0.297350712,18.5267563,1.813714404,0.04915913,0.012746973,0.017544525,1.8809314,3.1951387,0.012316343,0.204188232,191.8019465,0.007220048,0.01,0.116994326,0.871514694,0.886143572,6.809654985,0.006481867,
2231342,3080101,1.272005051,0.809327494,0.427728534,Chapman,52.6,28,0.212065472,0.880546809,0.808954588,0.976589688,0.211496959,18.78524,0.949484913,19.55058938,0.20416863,18.57330325,5.638795526,0.204977848,0.035250464,0.329775351,1.9316554,4.9792237,0.012512762,0.19097066,28.75673007,0.070922148,0.01,0.85429361,0.776084444,0.817049833,18.19572769,0.0969511,Good Plot to Show
2231396,3080101,1.237774141,0.79713778,0.420294718,Chapman,105,27,0.177721336,0.919063942,0.807098168,0.972864564,0.226787349,17.921873,0.911407627,19.55211929,0.466456448,17.86127512,3.282247988,0.210761769,0.051569507,0.334075177,1.856714,3.9750826,0.035855055,0.143947298,61.44821615,0.005942497,0.01,0.33407325,0.936537423,0.940324579,4.520302514,0.015153463,Good Plot to Show
2231454,3080101,1.283658391,0.816622869,0.421540455,Eckhardt,11.6,15,0.230798067,0.920354298,0.848413455,0.977741406,0.201801139,20.41201,0.964018113,21.20517347,0.367649115,20.45540003,3.395868636,0.216522963,0.038251366,0.286783377,2.1012406,5.0975323,0.033530377,0.140388033,90.93588126,0.008116841,0.1,0.140178348,0.975527855,0.976112435,-3.936592587,-0.012469125,
