usgs_site_no,huc8,DI_mean,<ET/R>,<Qb/Qf>,baseflow_sep,area(mi^2),years_data,Rec_a,Rec_b,Rec_r^2,Rec_event_avg_r^2,lambda_all,alpha_all,weight_1_all,alpha_1_all,alpha_2_all,alpha_me_all,rmse_all,<Q>(cm),percent_rows_dropped,sigmaQ^2(cm^2),<R>(cm),sigmaR^2(cm^2),<Q>(cm)_diff,BI,w,mu,Beta,RMSE,NSE,NNSE,PBIAS,Bias avg (cm),
8031000,12010005,1.138254176,0.686372713,0.389368638,Chapman,83.3,21,0.300986071,0.978707515,0.899335649,0.968097724,0.200104561,21.657022,0.964151252,22.45963568,0.311234136,21.6656432,11.11243203,0.41475508,0.038536904,1.013477841,2.1884446,8.10472,0.0654064,0.212595906,77.50200982,0.002411969,0.2,0.326022616,0.964207146,0.965444004,-1.870236709,-0.010141891,Good Plot
8029500,12010005,1.139380034,0.7569885,0.445792001,Boughton,128,31,0.341122509,1.100135871,0.745251648,0.971590173,0.190986364,22.481781,0.970419923,23.06302172,0.279793073,22.38909205,6.227060612,0.30278218,0.028743625,0.874125518,2.3088377,7.0825076,-0.018048028,0.170979941,79.26752627,0.003207308,0.01,0.613202557,0.926495096,0.931528115,10.19185335,0.051419337,Awesome Plot to Show
8025500,12010005,1.182874745,0.731519143,0.308929861,Chapman,148,26,0.460705282,1.052142536,0.890920919,0.974216423,0.181383487,22.29769,0.979943399,23.01630895,0.295629655,22.56060935,6.158039921,0.41370934,0.018160516,1.791497895,2.232534,6.7178655,0.013943456,0.302450392,12.66547154,0.314100981,1,1.514398317,0.888464155,0.899656097,-0.356748542,-0.004692093,"Good Plot to Show for few cases where results are not ideal, but still good"
8041300,12020006,1.250765997,0.814965991,0.404233302,Chapman,265,5,0.268017428,1.003099764,0.78222701,0.969447025,0.217534247,16.663452,0.861530951,18.89341733,0.945962214,16.40825029,1.667955617,0.183693067,0.062972292,0.187457085,1.7585843,3.615604,0.020240131,0.136098285,64.8394255,0.011929427,0.1,0.217629214,0.883578629,0.895719148,-0.134287244,-0.000369517,Good Plot
8011000,8080201,1.185501014,0.589066287,0.284495038,Chapman,254,1,0.454412849,0.976701284,0.801305825,0.999483141,0.172222222,20.819208,0.937901883,22.19744741,0.395825902,20.84360777,10.06671402,0.612137013,0.080645161,1.748364113,2.1832812,7.796652,0.077833662,0.241777435,40.57131307,0.001720204,0.4,0.611033804,0.813797409,0.843026315,6.024929446,0.041228091,Awesome Plot to Show
8010000,8080201,1.009625833,0.545571959,0.227871945,Chapman,131,20,0.493313773,0.985490528,0.89235231,0.972552619,0.198787712,22.551893,0.965514873,23.39117068,0.229357453,22.5924326,6.94740014,0.791293285,0.074844075,2.017469216,2.2896328,7.3226657,0.174564241,0.217917482,50.10582131,0.007022336,0.7,0.267453426,0.982072423,0.982388161,-6.393246813,-0.061431378,"Good Plot to Show for few cases where results are not ideal, but still good"
7376000,8070203,1.020094981,0.715242664,0.484553684,Eckhardt,247,27,0.29210811,1.046478399,0.760629837,0.972182349,0.216563105,21.911198,0.952928168,22.71376655,0.307096093,21.65904352,5.377632292,0.321606234,0.052681091,0.625637397,2.2549636,6.172009,0.058231371,0.208076207,109.5921323,0.002848183,0.1,0.616047035,0.905575165,0.913721955,8.857121061,0.045050279,"Good Plot to Show for few cases where results are not ideal, but still good"
7376500,8070203,1.050711786,0.726133932,0.278615273,Chapman,79.5,26,0.48443676,1.048256457,0.880183083,0.982185588,0.196402116,23.521435,0.954948562,24.55708252,0.29442746,23.46401502,7.342179755,0.464696058,0.037715517,1.922435249,2.4052293,7.9265594,0.001428774,0.126444311,37.13530173,0.022336228,0.01,1.188919692,0.897188347,0.906773153,13.86492331,0.12275387,Awesome Plot to Show
7375960,8070203,0.95864689,0.696031195,0.447870619,Boughton,220,15,0.314284489,1.096609,0.78598853,0.973245296,0.22630137,22.297806,0.961096134,23.01767277,0.22738734,22.13104257,6.279906879,0.374224332,0.04842615,0.626070245,2.2586935,5.4977355,0.07150549,0.208298851,69.8968954,0.00926968,0.1,0.222681293,0.94140453,0.944647911,-10.260209,-0.045772623,Good Plot
7375800,8070203,0.977810835,0.750541914,0.498971845,Boughton,89.7,20,0.345562057,1.109315831,0.748361171,0.97239359,0.202771299,24.198563,0.989455714,24.19856262,0.245099753,23.94599046,4.56024552,0.302447011,0.01691475,0.752382084,2.4236646,6.0800977,0.011481028,0.223366839,40.4100218,0.078724289,0.01,0.419353051,0.948403864,0.950935407,6.644432193,0.043674326,Good Plot
7378000,8070202,1.06870886,0.731783058,0.292652287,Boughton,284,22,0.380106093,1.084316498,0.824151883,0.977285189,0.212622089,20.804773,0.945770403,21.63084407,0.285815515,20.47331177,5.489371706,0.394713635,0.035335689,0.926166578,2.110162,5.995054,0.029963258,0.127733781,46.70455321,0.012092918,0.1,0.155063759,0.987273176,0.987433112,-7.204836008,-0.038289592,Good Plot
7377240,8070202,1.066085181,0.577252467,0.166467149,Chapman,28.2,5,0.572409141,1.061572686,0.926831193,0.984125837,0.193972603,23.346657,0.972870084,23.92045835,0.623818592,23.28842247,7.600468184,0.822675415,0.033898305,2.903877357,2.250603,6.523449,0.174081527,0.134214758,19.28119662,0.004743034,0.2,0.304397145,0.974957294,0.975569109,-0.807766334,-0.007049634,Good Plot
7377782,8070202,1.128285521,0.804059081,0.117707333,Chapman,45,6,0.613211378,1.031560286,0.942871477,0.99289392,0.184357542,22.362484,0.001,447.2496796,21.44147779,21.867286,10.29785552,0.386596459,0.01010101,1.937854512,2.2278867,7.387704,-0.00388515,0.055851258,14.41857619,0.314133452,0.01,1.472966165,0.782336102,0.821244681,17.50552417,0.198235136,Awesome Plot to Show
7377500,8070202,1.078049392,0.737234572,0.414829712,Eckhardt,145,17,0.3904951,1.091989447,0.801299318,0.971425217,0.190352021,23.551226,0.980330112,23.55122566,0.279601936,23.09347543,11.09163627,0.362129584,0.024828767,1.166242796,2.344453,6.710869,0.029717798,0.241078422,23.97558489,0.112044249,0.01,0.510202628,0.952756563,0.954887817,2.685796865,0.021014382,Awesome Plot to Show
7375000,8090201,1.044964904,0.726489339,0.495698571,Eckhardt,103,23,0.320438522,1.056621162,0.75014263,0.976980009,0.194657403,23.834406,0.967868078,24.56307323,0.295833955,23.78332018,7.011203733,0.328752279,0.032,1.518815997,2.4313896,7.6205277,0.008068641,0.547771306,20.36234966,0.352321713,0.9,1.756926541,0.875763658,0.889492683,5.716808769,0.07858393,"Good Plot to Show for few cases where results are not ideal, but still good"
8014800,8080204,1.141364673,0.718726023,0.316532667,Chapman,120,16,0.377684509,1.077232538,0.818614923,0.972358576,0.198630137,21.650602,0.975273495,21.65060234,0.216506023,21.12061204,5.413764904,0.416214599,0.037068966,1.475759203,2.2225919,6.3276076,-0.010967169,0.259542306,15.99376691,0.187346785,0.4,0.274028271,0.987867875,0.988013299,-2.705295137,-0.026926516,Awesome Plot to Show
